roman_urdu,urdu
main aa raha hun ruk jao,میں آ رہا ہوں رک جاؤ
main seedha ghar aa raha hun,میں سیدھا گھر آ رہا ہوں
main tumhare paas aa raha hun,میں تمہارے پاس آ رہا ہوں
main khaana la ke aa raha hun,میں کھانا لے کے آ رہا ہوں
main thoda late aa raha hun sorry,میں تھوڑا لیٹ آ رہا ہوں سوری
main kal aa raha hun confirm hai,میں کل آ رہا ہوں کنفرم ہے
maafi mango,معافی مانگو
usse maafi maango,اس سے معافی مانگو
maine maafi maang li,میں نے معافی مانگ لی
abhi ja kar maafi maango,ابھی جا کر معافی مانگو
kya usne maafi maangi,کیا اس نے معافی مانگی
bina maafi ke kaam nahi chalay ga,بنا معافی کے کام نہیں چلے گا
yaar maafi maang lo bas,یار معافی مانگ لو بس
usne seedhi maafi nahi maangi,اس نے سیدھی معافی نہیں مانگی
maafi maangna zaroori tha,معافی مانگنا ضروری تھا
tum se maafi mangta hun,تم سے معافی مانگتا ہوں
usne sirf maafi maangi aur chala gaya,اس نے صرف معافی مانگی اور چلا گیا
dil se maafi maangna chahiye tha,دل سے معافی مانگنا چاہیے تھا
kisi ki maafi kabool karna bhi badi baat hai,کسی کی معافی قبول کرنا بھی بڑی بات ہے
mujhe tumse maafi maangni chahiye thi par mujhe pata nahi tha,مجھے تم سے معافی مانگنی چاہیے تھی پر مجھے پتہ نہیں تھا
mafi maango yaar,معافی مانگو یار
usne mafi nahi maangi,اس نے معافی نہیں مانگی
mafi ke bina gussa nahi jayega,معافی کے بنا غصہ نہیں جائے گا
please mafi maang lo usse,پلیز معافی مانگ لو اس سے
koi mafi maange to bhi nahi manta,کوئی معافی مانگے تو بھی نہیں مانتا
mafi lena aur dena dono zaroori hain,معافی لینا اور دینا دونوں ضروری ہیں
usne mafi maang ke maamla khatam kiya,اس نے معافی مانگ کے معاملہ ختم کیا
aik baar mafi maang lo phir sab theek ho jayega,ایک بار معافی مانگ لو پھر سب ٹھیک ہو جائے گا
"mafi sirf zaban se nahi, dil se maango",معافی صرف زبان سے نہیں، دل سے مانگو
"tumne galti ki, ab mafi maango",تم نے غلطی کی، اب معافی مانگو
maafeey maang lo ab,معافی مانگ لو اب
kya usne maafeey maangi tumse,کیا اس نے معافی مانگی تم سے
maafeey maangna taqat ka kaam hai,معافی مانگنا طاقت کا کام ہے
maafiy maang lo bhai,معافی مانگ لو بھائی
usne maafiy maangi ya nahi,اس نے معافی مانگی یا نہیں
jo maazi mein hua so hua,جو ماضی میں ہوا سو ہوا
maazi ke baare mein mat socho,ماضی کے بارے میں مت سوچو
apna maazi bhool jao,اپنا ماضی بھول جاؤ
uska maazi bahut bura tha,اس کا ماضی بہت برا تھا
maazi mein return nahi ja sakta koi,ماضی میں واپس نہیں جا سکتا کوئی
tum apne maazi se bahut zyada chipke ho,تم اپنے ماضی سے بہت زیادہ چپکے ہو
maazi ki galtiyan yaad karke kya milta hai,ماضی کی غلطیاں یاد کر کے کیا ملتا ہے
iska maazi to bilkul saaf hai,اس کا ماضی تو بالکل صاف ہے
"maazi badal nahi sakta, aage badho",ماضی بدل نہیں سکتا، آگے بڑھو
uske maazi ke baare mein mat poochho,اس کے ماضی کے بارے میں مت پوچھو
mazi ko bhool ke aage badho,ماضی کو بھول کے آگے بڑھو
uska mazi bahut complicated hai,اس کا ماضی بہت کامپلیکیٹڈ ہے
mazi ki baatein dobara mat uthao,ماضی کی باتیں دوبارہ مت اٹھاؤ
mazi mein bhi aisa hi hua tha,ماضی میں بھی ایسا ہی ہوا تھا
mazi ko pakad ke baithna bhi koi zindagi hai,ماضی کو پکڑ کے بیٹھنا بھی کوئی زندگی ہے
jo mazi mein ho gaya use jaane do,جو ماضی میں ہو گیا اسے جانے دو
"mazi se seekho, magar mazi mein mat jio",ماضی سے سیکھو، مگر ماضی میں مت جیو
maazee ko chhod ke aage dekho,ماضی کو چھوڑ کے آگے دیکھو
uska maazee jaanta hun main,اس کا ماضی جانتا ہوں میں
maazee ki baatein karne se kuch nahi hota,ماضی کی باتیں کرنے سے کچھ نہیں ہوتا
maadee mein itna dara hua tha woh,ماضی میں اتنا ڈرا ہوا تھا وہ
maadee ki kahaniyan mat sunao mujhe,ماضی کی کہانیاں مت سناؤ مجھے
woh fail ho gaya,وہ فیل ہو گیا
main fail ho gayi phir se,میں فیل ہو گئی پھر سے
exam mein fail hua,امتحان میں فیل ہوا
kya tum fail ho gaye,کیا تم فیل ہو گئے
math mein fail ho gaya woh,میتھ میں فیل ہو گیا وہ
teen baar fail hua hai woh isi subject mein,تین بار فیل ہوا ہے وہ اسی سبجیکٹ میں
fail hone se zindagi khatam nahi hoti,فیل ہونے سے زندگی ختم نہیں ہوتی
agar fail ho gaye to phir doge,اگر فیل ہو گئے تو پھر دو گے
yaar fail ho gaya main to,یار فیل ہو گیا میں تو
result aaya to fail tha,رزلٹ آیا تو فیل تھا
sirf do marks se fail hua,صرف دو مارکس سے فیل ہوا
pata tha fail honga agar is tarah parhe,پتہ تھا فیل ہوں گا اگر اس طرح پڑھے
woh har saal fail hota hai aur kuch nahi karta,وہ ہر سال فیل ہوتا ہے اور کچھ نہیں کرتا
paper bahut mushkil tha isliye fail hua,پیپر بہت مشکل تھا اس لیے فیل ہوا
fail hone ke baad mama ne bahut daanta,فیل ہونے کے بعد ماما نے بہت ڈانٹا
ek subject mein fail tha baaki sab mein pass,ایک سبجیکٹ میں فیل تھا باقی سب میں پاس
kya tum fail ho gaye tha uss saal,کیا تم فیل ہو گئے تھے اس سال
fail hua to supplementary deni padegi,فیل ہوا تو سپلیمنٹری دینی پڑے گی
"aaj result hai, dar lag raha hai fail na ho jaun",آج رزلٹ ہے، ڈر لگ رہا ہے فیل نہ ہو جاؤں
woh feel ho gaya exam mein,وہ فیل ہو گیا امتحان میں
main feel ho gayi test mein,میں فیل ہو گئی ٹیسٹ میں
bhai feel ho gaya physics mein,بھائی فیل ہو گیا فزکس میں
pata tha feel hoga,پتہ تھا فیل ہو گا
feel hone ke baad bahut roya woh,فیل ہونے کے بعد بہت رویا وہ
kaash feel na hota,کاش فیل نہ ہوتا
feel na ho iss baar kisi tarah,فیل نہ ہو اس بار کسی طرح
feel hua to ghar mein jhagra hoga,فیل ہوا تو گھر میں جھگڑا ہو گا
dhyan rakho,دھیان رکھو
dhyan se suno,دھیان سے سنو
dhyan nahi diya tune,دھیان نہیں دیا تم نے
road pe dhyan rakho,روڈ پہ دھیان رکھو
kya dhyan hai tumhara,کیا دھیان ہے تمہارا
padhai pe dhyan do,پڑھائی پہ دھیان دو
apna dhyan rakho,اپنا دھیان رکھو
dhyan kahan hai tera,دھیان کہاں ہے تیرا
"khane pe dhyan do, phone baad mein dekh lena",کھانے پہ دھیان دو، فون بعد میں دیکھ لینا
koi dhyan nahi deta isko,کوئی دھیان نہیں دیتا اسے
"dhyan se karo kaam, galti ho jaati hai",دھیان سے کرو کام، غلطی ہو جاتی ہے
usne meri baat pe bilkul dhyan nahi diya,اس نے میری بات پہ بالکل دھیان نہیں دیا
gaadi chalaate waqt dhyan rakhna bahut zaroori hai,گاڑی چلاتے وقت دھیان رکھنا بہت ضروری ہے
bacchon ka dhyan rakhna maa ka kaam hai,بچوں کا دھیان رکھنا ماں کا کام ہے
dhayan rakhna apna,دھیان رکھنا اپنا
dhayan se suno kya keh raha hun,دھیان سے سنو کیا کہہ رہا ہوں
usne zyada dhayan nahi diya,اس نے زیادہ دھیان نہیں دیا
kaam pe dhayan do yaar,کام پہ دھیان دو یار
dhayan kahan hai tera,دھیان کہاں ہے تیرا
dheyaan se padho,دھیان سے پڑھو
dheyaan rakhna apna aur ghar waalon ka,دھیان رکھنا اپنا اور گھر والوں کا
dheyaan nahi tha mujhe,دھیان نہیں تھا مجھے
dhiaan se suno kya keh rahi hun,دھیان سے سنو کیا کہہ رہی ہوں
dhiaan kahan hai aaj tera,دھیان کہاں ہے آج تیرا
kisi ne dhiaan nahi diya,کسی نے دھیان نہیں دیا
dhiyan do baat pe,دھیان دو بات پہ
dhiyan hai ya nahi,دھیان ہے یا نہیں
dhiyan rakhna apna yahan,دھیان رکھنا اپنا یہاں
bachon pe dhiyan rakho,بچوں پہ دھیان رکھو
dhyaan do padhai pe,دھیان دو پڑھائی پہ
dhyaan se karo kaam,دھیان سے کرو کام
dhyaan rakhna yaar,دھیان رکھنا یار
dhyaan nahi tha tumhara,دھیان نہیں تھا تمہارا
khel mein itna dhyaan mat do,کھیل میں اتنا دھیان مت دو
yeh kaam chhod do,یہ کام چھوڑ دو
usse chhod do,اسے چھوڑ دو
mujhe chhod ke mat jao,مجھے چھوڑ کے مت جاؤ
yeh buri aadat chhod do,یہ بری عادت چھوڑ دو
sab chhod ke gaya woh,سب چھوڑ کے گیا وہ
phone chhod aur khaana khao,فون چھوڑ اور کھانا کھاؤ
naukri chhod di usne,نوکری چھوڑ دی اس نے
yaar yeh topic chhod yaar,یار یہ ٹاپک چھوڑ یار
shaher chhod ke gaye woh log,شہر چھوڑ کے گئے وہ لوگ
chhod do yeh puraani baatein,چھوڑ دو یہ پرانی باتیں
cigarette chhod di maine,سگریٹ چھوڑ دی میں نے
kaam beech mein chhod ke mat jao,کام بیچ میں چھوڑ کے مت جاؤ
yeh sab chor aur aao,یہ سب چھوڑ اور آؤ
chor do yeh baatein,چھوڑ دو یہ باتیں
usse chor ke aa gayi woh,اسے چھوڑ کے آ گئی وہ
nasha chor do please,نشہ چھوڑ دو پلیز
chor yaar kya rakha hai isme,چھوڑ یار کیا رکھا ہے اس میں
bura chor ke acha dhundo,بُرا چھوڑ کے اچھا ڈھونڈو
chhodna easy nahi hota,چھوڑنا آسان نہیں ہوتا
usne chhodna theek samjha,اس نے چھوڑنا ٹھیک سمجھا
main nahi chahta chhodna yeh sab,میں نہیں چاہتا چھوڑنا یہ سب
yeh dost chhodna bahut mushkil tha,یہ دوست چھوڑنا بہت مشکل تھا
mobile chhodna padega kuch waqt ke liye,موبائل چھوڑنا پڑے گا کچھ وقت کے لیے
usne khud chhudna chahiya tha,اس نے خود چھوڑنا چاہیے تھا
chhudna easy lagta hai par hota nahi,چھوڑنا آسان لگتا ہے پر ہوتا نہیں
chhodo yaar kya fayda,چھوڑو یار کیا فائدہ
chhodo isko mat uljhao khud ko,چھوڑو اسے مت الجھاؤ خود کو
chhodo ab yeh baat,چھوڑو اب یہ بات
chhodo na yaar hone do,چھوڑو نا یار ہونے دو
chhodo is topic ko aage badho,چھوڑو اس ٹاپک کو آگے بڑھو
chhodo iss waqt yeh soch raho kuch aur,چھوڑو اس وقت یہ سوچ رہو کچھ اور
yeh business badhna chahiye,یہ بزنس بڑھنا چاہیے
mujhe aage badhna hai,مجھے آگے بڑھنا ہے
prices ka badhna rok nahi saktay,قیمتوں کا بڑھنا روک نہیں سکتے
usne badhna chhor diya,اس نے بڑھنا چھوڑ دیا
yeh kaam karte rahne se hi badhna possible hai,یہ کام کرتے رہنے سے ہی بڑھنا پوسیبل ہے
sehat ka badhna achha sign hai bacche mein,صحت کا بڑھنا اچھا سائن ہے بچے میں
traffic ka badhna ek badi problem hai,ٹریفک کا بڑھنا ایک بڑی پرابلم ہے
zindagi mein badhna zaroori hai ruk jaana nahi,زندگی میں بڑھنا ضروری ہے رک جانا نہیں
mehnat karo to badhna pakka hai,محنت کرو تو بڑھنا پکا ہے
waqt ke saath badhna seekhna chahiye,وقت کے ساتھ بڑھنا سیکھنا چاہیے
naye kaam mein badhna pehle slow hota hai,نئے کام میں بڑھنا پہلے سلو ہوتا ہے
isko abhi badhnaa hai,اسے ابھی بڑھنا ہے
mehnat ke bagair badhnaa mushkil hai,محنت کے بغیر بڑھنا مشکل ہے
bacche ka badhnaa dekh ke khushi hoti hai,بچے کا بڑھنا دیکھ کے خوشی ہوتی ہے
salary ka badhnaa zaroori hai,تنخواہ کا بڑھنا ضروری ہے
"apne aap ko badhnaa hota hai, dusro pe depend nahi rehna",اپنے آپ کو بڑھنا ہوتا ہے، دوسروں پہ ڈیپنڈ نہیں رہنا
yahan se badhana hi theek rahega,یہاں سے بڑھنا ہی ٹھیک رہے گا
uska badhana band ho gaya tha bimari ki wajah se,اس کا بڑھنا بند ہو گیا تھا بیماری کی وجہ سے
"badhana ek process hai, time lagta hai",بڑھنا ایک پروسیس ہے، ٹائم لگتا ہے
"yeh maafi ka waqt nahi tha, yeh galti ki baat thi",یہ معافی کا وقت نہیں تھا، یہ غلطی کی بات تھی
maafi maangna asan nahi hota sab ke liye,معافی مانگنا آسان نہیں ہوتا سب کے لیے
usne sirf ek maafi mein sab bhool gaye,اس نے صرف ایک معافی میں سب بھول گئے
mafi maangne ke baad bhi trust nahi bana,معافی مانگنے کے بعد بھی ٹرسٹ نہیں بنا
maazi mein koi bhi wapis nahi ja sakta,ماضی میں کوئی بھی واپس نہیں جا سکتا
apna maazi jaan'na chahte ho to purana album dekho,اپنا ماضی جاننا چاہتے ہو تو پرانا ایلبم دیکھو
mazi ki galtiyan aaj ka bojh nahi banni chahiye,ماضی کی غلطیاں آج کا بوجھ نہیں بننی چاہیے
"sab dost pass ho gaye, main akela fail hua",سب دوست پاس ہو گئے، میں اکیلا فیل ہوا
class mein fail hona sharmindagi ki baat nahi,کلاس میں فیل ہونا شرمندگی کی بات نہیں
"uss saal fail hua, agli saal double mehnat ki",اس سال فیل ہوا، اگلی سال ڈبل محنت کی
fail ho bhi gaye to dobara koshish karo,فیل ہو بھی گئے تو دوبارہ کوشش کرو
ghar ja,گھر جا
ghar jao,گھر جاؤ
ghar aa jao,گھر آ جاؤ
ghar par hun,گھر پر ہوں
ghar pe hun,گھر پہ ہوں
ghar nahi hun,گھر نہیں ہوں
woh ghar gaya,وہ گھر گیا
main ghar ja raha hun,میں گھر جا رہا ہوں
ghar pahonch gaya,گھر پہنچ گیا
ghar kab aoge,گھر کب آؤ گے
aaj ghar raho,آج گھر رہو
kya tum ghar ho,کیا تم گھر ہو
ghar se nikal,گھر سے نکل
ghar band kar lo,گھر بند کر لو
ghar ka khaana khao,گھر کا کھانا کھاؤ
kal ghar aana,کل گھر آنا
raat ko ghar aa jana,رات کو گھر آ جانا
ghar mein sab theek hai,گھر میں سب ٹھیک ہے
yaar ghar chhod aao pehle,یار گھر چھوڑ آؤ پہلے
ghar wale kya kehte hain,گھر والے کیا کہتے ہیں
seedha ghar jao kahi mat ruko,سیدھا گھر جاؤ کہیں مت رکو
ghar mein akele hoon aaj,گھر میں اکیلے ہوں آج
ghar ka kiraaya bahut zyada hai,گھر کا کرایہ بہت زیادہ ہے
naya ghar le liya unhone,نیا گھر لے لیا انہوں نے
ghar se kaam kar raha hun aaj,گھر سے کام کر رہا ہوں آج
mere sath aa,میرے ساتھ آ
mere sath chalo,میرے ساتھ چلو
unke sath ja raha hun,ان کے ساتھ جا رہا ہوں
kya tum mere sath ho,کیا تم میرے ساتھ ہو
woh mere sath hai,وہ میرے ساتھ ہے
apne dost ke sath gaya,اپنے دوست کے ساتھ گیا
sath mein khana khate hain,ساتھ میں کھانا کھاتے ہیں
kisi ke sath mat jao,کسی کے ساتھ مت جاؤ
hum sath sath chalte hain,ہم ساتھ ساتھ چلتے ہیں
usne mere sath aisa kiya,اس نے میرے ساتھ ایسا کیا
mere sath baar baar aisa hota hai,میرے ساتھ بار بار ایسا ہوتا ہے
tum mere sath kyu nahi aaye,تم میرے ساتھ کیوں نہیں آئے
woh apni amma ke sath aayi,وہ اپنی اماں کے ساتھ آئی
sath hota to thik hota,ساتھ ہوتا تو ٹھیک ہوتا
mujhe kisi ke sath rehna pasand nahi,مجھے کسی کے ساتھ رہنا پسند نہیں
sab ke sath achi tarah pesh aao,سب کے ساتھ اچھی طرح پیش آؤ
ghar waalon ke sath waqt bitao,گھر والوں کے ساتھ وقت بتاؤ
yaar sath mein baitho yahan,یار ساتھ میں بیٹھو یہاں
kal mere sath chalna bazaar,کل میرے ساتھ چلنا بازار
uske sath rehna asan nahi tha,اس کے ساتھ رہنا آسان نہیں تھا
mujhe dar lag raha hai,مجھے ڈر لگ رہا ہے
dar mat,ڈر مت
dar kyun raha hai,ڈر کیوں رہا ہے
koi dar nahi,کوئی ڈر نہیں
mujhe dar lagta hai andheron se,مجھے ڈر لگتا ہے اندھیروں سے
woh bahut darta hai,وہ بہت ڈرتا ہے
isse daro mat,اس سے ڈرو مت
yaar dar gaya main,یار ڈر گیا میں
itna dar kya hai,اتنا ڈر کیا ہے
usse koyi dar nahi,اسے کوئی ڈر نہیں
andheron se dar lagta hai mujhe,اندھیروں سے ڈر لگتا ہے مجھے
dar ke wajah se nahi gaya,ڈر کے وجہ سے نہیں گیا
dar ko chhod ke aage badho,ڈر کو چھوڑ کے آگے بڑھو
bacchon ko iss cheez se bahut dar lagta hai,بچوں کو اس چیز سے بہت ڈر لگتا ہے
dar mujhe bhi lag raha tha yaar,ڈر مجھے بھی لگ رہا تھا یار
kya tumhe bhi dar laga,کیا تمہیں بھی ڈر لگا
akele dar lagta hai raat ko,اکیلے ڈر لگتا ہے رات کو
dar ke mare chup raha,ڈر کے مارے چپ رہا
usse ajeeb cheez se dar lagta hai,اسے عجیب چیز سے ڈر لگتا ہے
kuch nahi hoga daro mat,کچھ نہیں ہو گا ڈرو مت
bas karo ab,بس کرو اب
bas bhi karo,بس بھی کرو
bas yahi chahiye tha,بس یہی چاہیے تھا
bas ho gaya,بس ہو گیا
bas ek minute,بس ایک منٹ
bas ab chup raho,بس اب چپ رہو
main bas dekh raha tha,میں بس دیکھ رہا تھا
bas thoda sa aur,بس تھوڑا سا اور
yaar bas kar yeh drama,یار بس کر یہ ڈرامہ
bas ek kaam karo,بس ایک کام کرو
bas itna hi karna tha,بس اتنا ہی کرنا تھا
bas waqt barbad kiya,بس وقت برباد کیا
woh bas aa raha tha,وہ بس آ رہا تھا
bas kuch nahi sochna,بس کچھ نہیں سوچنا
subah ki bas miss ho gayi,صبح کی بس مس ہو گئی
bas mein saath bethna mujhe pasand nahi,بس میں ساتھ بیٹھنا مجھے پسند نہیں
bas le lo warna der ho jayegi,بس لے لو ورنہ دیر ہو جائے گی
school ki bas aati hai dus baje,اسکول کی بس آتی ہے دس بجے
aaj bas nahi aayi,آج بس نہیں آئی
bas wali gali mein utaarna,بس والی گلی میں اتارنا
bahar jao,باہر جاؤ
bahar aa jao,باہر آ جاؤ
main bahar hun,میں باہر ہوں
bahar mat jao abhi,باہر مت جاؤ ابھی
woh bahar gaya,وہ باہر گیا
bahar bahut garmi hai,باہر بہت گرمی ہے
bahar se aa raha hun,باہر سے آ رہا ہوں
bahar khaana khayein,باہر کھانا کھائیں
bahar nikal ke baat karo,باہر نکل کے بات کرو
bahar se darwaza band karo,باہر سے دروازہ بند کرو
kya bahar barish ho rahi hai,کیا باہر بارش ہو رہی ہے
bahar andheera ho gaya,باہر اندھیرا ہو گیا
bahar bahut shor hai,باہر بہت شور ہے
bahar ka mausam acha hai aaj,باہر کا موسم اچھا ہے آج
raat ko bahar mat jao akele,رات کو باہر مت جاؤ اکیلے
bahar gaye the ghumne,باہر گئے تھے گھومنے
uska kaam bahar ka hai,اس کا کام باہر کا ہے
bahar wale shor macha rahe hain,باہر والے شور مچا رہے ہیں
bahar wala khana ghar se sasta padta hai kabhi kabhi,باہر کا کھانا گھر سے سستا پڑتا ہے کبھی کبھی
bahar bohot dhoop hai zara sunscreen laga lena,باہر بہت دھوپ ہے ذرا سنسکرین لگا لینا
kal aana,کل آنا
kal milte hain,کل ملتے ہیں
kal gaya tha,کل گیا تھا
kal nahi aa sakta,کل نہیں آ سکتا
kal kya hua,کل کیا ہوا
kal school nahi tha,کل اسکول نہیں تھا
kal raat neend nahi aayi,کل رات نیند نہیں آئی
kal ka wait kar rahe hain,کل کا انتظار کر رہے ہیں
kal se kaam shuru karein ge,کل سے کام شروع کریں گے
kal ki baat hai,کل کی بات ہے
kal mausam bahut kharab tha,کل موسم بہت خراب تھا
kal milna zaroor,کل ملنا ضرور
kal subah aana seedha yahan,کل صبح آنا سیدھا یہاں
jo kal hua woh mat socho,جو کل ہوا وہ مت سوچو
kal din bhar ghar par raha,کل دن بھر گھر پر رہا
kal raat ka khana bhi nahi khaya tha,کل رات کا کھانا بھی نہیں کھایا تھا
kal test tha aur main tayyar nahi tha,کل ٹیسٹ تھا اور میں تیار نہیں تھا
kal office mein bahut kaam tha,کل آفس میں بہت کام تھا
aaj ka din acha gaya,آج کا دن اچھا گیا
poora din kaam kiya,پورا دن کام کیا
yeh din yaad rahega,یہ دن یاد رہے گا
har din aisa hona chahiye,ہر دن ایسا ہونا چاہیے
din bhar thaka hua hun,دن بھر تھکا ہوا ہوں
kuch din aur ruko,کچھ دن اور رکو
teen din baad aaun ga,تین دن بعد آؤں گا
din charhte charhte aa gaya,دن چڑھتے چڑھتے آ گیا
yeh kaunsa din hai,یہ کونسا دن ہے
din bhar so ta raha,دن بھر سوتا رہا
aaj bahut bura din tha,آج بہت برا دن تھا
ek din main zaroor aaoonga,ایک دن میں ضرور آؤں گا
in dino bahut busy hun,ان دنوں بہت بزی ہوں
din dhale baad mein aao,دن ڈھلے بعد میں آؤ
pehle din se hi acha lag raha tha,پہلے دن سے ہی اچھا لگ رہا تھا
